,SMA,Month_,Date_,Day_,Post,Post Format,Impressions,Click-Through-Rate,Retweets/Shares,Likes,Video Views,Link Clicks,Detail Expands,Hashtag Clicks,User Profile Clicks,Media Engagements,Total Engagements,Engagements,Follows,Replies,Post/Tweet Length,Account
0,Twitter,January,2020-01-02,Wednesday,"May this new year bring you prosperity and success! Best wishes from the Lohika team.

#NewYear2020 #NewYear #2020 https://t.co/JAq1oZP5rh",Graphic,138,0.0,235.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,,,LinkedIn
1,LinkedIn,January,2020-01-02,Wednesday,"May this new year bring you prosperity and success! Best wishes from the Lohika team.

#NewYear2020 #Growth #Thankful #Success",Graphic,1145,0.0052,0.0,9.0,0.0,6,,,,,15,0.0,,,126.0,Twitter
2,Twitter,January,2020-01-03,Friday,"Asanka Jayasuriya (SVP Engineering at Invision) urges managers to start thinking about distributed teams despite a lot of new challenges. He believes the reach, the access to talent is well-worth the offset! https://t.co/TIgPEazvQM

#Engineering #Leadership #Communication #Tech",Article,278,0.0,304.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,499.0,499.0,,,Facebook
3,LinkedIn,January,2020-01-03,Friday,"Asanka Jayasuriya (SVP Engineering at Invision) urges managers to start thinking about distributed teams, as he believes it is the future of work. There are a lot of new challenges, but he believes the reach, the access to talent is well-worth the offset! 

#Engineering #Leadership #Communication #Technology #Software",Article,709,0.0099,0.0,4.0,0.0,7,,,,,11,0.0,,,319.0,Twitter
4,LinkedIn,April,2020-01-04,Wednesday,"Today’s the day! We're excited to join #Oktane20 and listen to thought leaders as they keep you up-to-date on the latest in identity, security, and digital transformation.

Replacing the in-person event with dynamic video content, enjoy a virtual experience! Register for free here: ?? https://bit.ly/3dIMonT

#RemoteWork #EngineeringLeaders #EngineeringLeadership #Product #Leadership #Engineers #CoronaVirus #Management",Article,1053,0.0066,0.0,4.0,0.0,7,,,,,11,,,,421.0,Twitter
5,LinkedIn,May,2020-01-05,Friday,"We collaborate closely with our clients’ engineering organizations to transform them from bottlenecks to growth drivers: https://bit.ly/3cUxrOj

#Engineering #WhatWeDo #HowWeDoIt #EngineeringTeams #Scaling #Growth #EngineeringLeadership",Graphic,1055,0.0095,0.0,5.0,0.0,10,,,,,15,,,,236.0,Twitter
6,Twitter,January,2020-01-06,Monday,"We start this new week with a recap of how we helped our client, one of Asia's leading airlines, increase sales by replacing their system with a new scalable, reliable and fast SSO solution. https://t.co/weYYaylM18

#AWS #Microservices #SoftwareEngineering #Consulting #Technology https://t.co/kWTURGSbog",Article,304,0.0007,6798.0,4.0,14.0,33,5.0,323.0,1.0,114.0,33,40.0,7.0,,,LinkedIn
7,LinkedIn,January,2020-01-06,Monday,"We start this new week with a recap of how we helped our client, one of Asia's leading airlines, increase sales by replacing their system with a new scalable, reliable and fast SSO solution. 

#AWS #Microservices #SoftwareEngineering #Consulting #Technology",Article,7346,0.0022,1.0,6.0,0.0,16,,,,,23,0.0,,,257.0,Facebook
8,LinkedIn,July,2020-01-07,Wednesday,"Join us for our next Lohika-Plato partnership webinar with Stacie Lang-Frederick, VPE of Collective Health as she discusses how she enables her team to launch products faster. Her secret sauce?
 
 Register now and learn how you can apply her techniques to launch faster. https://bit.ly/2YMrKhp
 
 #engineering #engineeringteams #scaling #growth #engineeringleadership #productleadership #managingpeople #leadership",Graphic,11373,0.0087,5.0,10.0,,99,,,,,114,,,,414.0,Twitter
9,LinkedIn,July,2020-01-07,Wednesday,"Are you looking at building the next new? Lohika works at the forefront of technology, helping clients build products and services the world has never seen. Discover some of our complex core capabilities and how we can help your businesses scale and build the ‘next new’. https://bit.ly/3g5XDY5
 
 #whatwedo #howwedoit #softwareengineering #engineeringteams #engineering #technology",Graphic,840,0.0095,1.0,5.0,,8,,,,,14,,,,382.0,Twitter
10,Twitter,January,2020-01-07,Tuesday,"While Amazon has been the undisputed leader in the cloud, is its position in the cloud-computing arena in jeopardy? Insightful look at the rivalry between Amazon and other tech giants. https://t.co/lNpAjBFAGp

#Cloud #Amazon #Technology #Innovation #CloudComputing",Article,264,0.0143,419.0,0.0,1.0,0,6.0,0.0,0.0,0.0,0,5.0,5.0,,,LinkedIn
11,LinkedIn,January,2020-01-07,Tuesday,"While Amazon has been the undisputed leader in the cloud, is its position in the cloud-computing arena in jeopardy? Insightful look at the rivalry between Amazon and other tech giants. 

#Cloud #Amazon #Technology #Innovation #CloudComputing",Article,614,0.0163,0.0,2.0,0.0,10,,,,,12,0.0,,,241.0,Twitter
